Val loss: 0.32253061105998665, pck_50: 95.58823529411755, pck_40: 91.22902526395166, pck_30: 80.34478695324285, pck_20: 57.33137726244348, pck_10: 22.027361425339357, pck_5: 6.286293363499245
Val loss: 0.3218370200922856, pck_50: 95.58222567873298, pck_40: 91.22902526395171, pck_30: 80.39946266968333, pck_20: 57.47619720965313, pck_10: 22.13070324283559, pck_5: 6.382447209653095
Val loss: 0.32138891205764736, pck_50: 95.56525735294122, pck_40: 91.29218514328815, pck_30: 80.50021210407239, pck_20: 57.594386312217225, pck_10: 22.08816459276016, pck_5: 6.356523378582199
Val loss: 0.31792075026493805, pck_50: 95.59719079939657, pck_40: 91.33849453242833, pck_30: 80.75131975867278, pck_20: 58.20477469834083, pck_10: 22.561981523378552, pck_5: 6.448081636500756
Val loss: 0.3159850500810605, pck_50: 95.67236990950228, pck_40: 91.54671003016593, pck_30: 80.951758107089, pck_20: 58.36538461538459, pck_10: 22.894395739064873, pck_5: 6.638268288084453
Val loss: 0.31488222651756725, pck_50: 95.6577582956258, pck_40: 91.49827960030174, pck_30: 81.00148472850687, pck_20: 58.562994909502294, pck_10: 22.836538461538478, pck_5: 6.618471907993961
Val loss: 0.31371498686762955, pck_50: 95.6865101809954, pck_40: 91.5013433257918, pck_30: 81.07666383861246, pck_20: 58.6404128959276, pck_10: 23.15575509049775, pck_5: 6.71780731523379
Val loss: 0.31260123401880263, pck_50: 95.70583521870294, pck_40: 91.61564385369527, pck_30: 81.31693061840116, pck_20: 58.980486425339365, pck_10: 23.249670060331823, pck_5: 6.780024509803923
Val loss: 0.3136911088744035, pck_50: 95.67366610105573, pck_40: 91.56662424585213, pck_30: 81.11696361236802, pck_20: 58.75813065610854, pck_10: 23.27288367269987, pck_5: 6.757164404223229
Val loss: 0.3125900336756156, pck_50: 95.73564762443424, pck_40: 91.53374811463048, pck_30: 81.16020927601801, pck_20: 58.81940516591253, pck_10: 23.088470965309213, pck_5: 6.710148001508293
Val loss: 0.30974418400571896, pck_50: 95.75721153846148, pck_40: 91.70684860482653, pck_30: 81.42168646304677, pck_20: 59.32468420060333, pck_10: 23.516803355957766, pck_5: 6.95701357466063
