Val loss: 0.2811442223019325, pck_50: 95.9539969834087, pck_40: 92.55361519607848, pck_30: 83.85581636500754, pck_20: 64.20390271493203, pck_10: 27.60463800904979, pck_5: 8.477564102564104
Val loss: 0.2794853324786975, pck_50: 95.97662141779786, pck_40: 92.57282239819014, pck_30: 83.94666760935146, pck_20: 64.33634992458525, pck_10: 27.824872737556575, pck_5: 8.62120569381598
Val loss: 0.2785205587458152, pck_50: 95.98934766214168, pck_40: 92.60558069381607, pck_30: 83.97400546757163, pck_20: 64.5007305806938, pck_10: 28.096248114630473, pck_5: 8.685661764705868
Val loss: 0.2769375803952034, pck_50: 96.00773001508286, pck_40: 92.6564856711916, pck_30: 84.07876131221718, pck_20: 64.69692684766211, pck_10: 28.288437971342393, pck_5: 8.777691365007536
Val loss: 0.2759924829006195, pck_50: 96.00242741327294, pck_40: 92.66178827300162, pck_30: 84.16407428355954, pck_20: 64.94485294117649, pck_10: 28.627450980392165, pck_5: 8.970823906485679
Val loss: 0.2745375469040412, pck_50: 96.03424302413269, pck_40: 92.72954374057308, pck_30: 84.33623208898939, pck_20: 65.13716063348417, pck_10: 28.832720588235293, pck_5: 9.043174962292607
Val loss: 0.27307628118074856, pck_50: 96.07041855203624, pck_40: 92.78068438914023, pck_30: 84.40186651583711, pck_20: 65.30660822021112, pck_10: 28.900829562594314, pck_5: 9.086302790346899
Val loss: 0.27270880367320316, pck_50: 96.04979732277528, pck_40: 92.7420343137256, pck_30: 84.43544966063348, pck_20: 65.53344174208142, pck_10: 29.200721153846136, pck_5: 9.175622171945706
Val loss: 0.2719058636862498, pck_50: 96.053096719457, pck_40: 92.77667797888388, pck_30: 84.47822398190038, pck_20: 65.74201074660631, pck_10: 29.467972285067848, pck_5: 9.304416478129712
Val loss: 0.270553349961455, pck_50: 96.07843137254899, pck_40: 92.80955411010561, pck_30: 84.57838423831063, pck_20: 65.8371040723982, pck_10: 29.66405071644042, pck_5: 9.411764705882353
Val loss: 0.2697324940504936, pck_50: 96.08279128959275, pck_40: 92.82345871040727, pck_30: 84.62257258672686, pck_20: 65.9339649321267, pck_10: 29.79932598039216, pck_5: 9.497077677224741
Val loss: 0.2686834058222862, pck_50: 96.09481052036199, pck_40: 92.8661151960784, pck_30: 84.77375565610856, pck_20: 66.29854826546003, pck_10: 29.992105015082927, pck_5: 9.61149604072398
Val loss: 0.2680482619083845, pck_50: 96.09221813725492, pck_40: 92.87318533182504, pck_30: 84.81075603318254, pck_20: 66.35829091251885, pck_10: 30.19949566365009, pck_5: 9.662283182503767
Val loss: 0.26725987554169617, pck_50: 96.11590309200609, pck_40: 92.93610953996985, pck_30: 84.88569947209649, pck_20: 66.4017722473605, pck_10: 30.257117269984906, pck_5: 9.738051470588228
Val loss: 0.2660180834910044, pck_50: 96.1242694193062, pck_40: 92.93717006033178, pck_30: 84.9521587481146, pck_20: 66.60810237556561, pck_10: 30.451899509803912, pck_5: 9.780472285067866
Val loss: 0.2653313649675021, pck_50: 96.14265177224735, pck_40: 92.95060331825034, pck_30: 85.03004807692312, pck_20: 66.75103695324285, pck_10: 30.655401583710425, pck_5: 9.909737933634984
Val loss: 0.26448742761634864, pck_50: 96.1451263197587, pck_40: 92.94011595022624, pck_30: 84.9432032428357, pck_20: 66.83305052790345, pck_10: 30.840403469079927, pck_5: 9.941671380090495
Val loss: 0.2639973014879685, pck_50: 96.1596200980393, pck_40: 92.96627545248862, pck_30: 85.0185001885369, pck_20: 66.82409502262443, pck_10: 30.821196266968318, pck_5: 9.974547511312212
Val loss: 0.2631364227487491, pck_50: 96.14960407239823, pck_40: 92.99974076168928, pck_30: 85.24250565610863, pck_20: 67.21919777526395, pck_10: 31.256834464555048, pck_5: 10.18535539215686
Val loss: 0.26229291432178936, pck_50: 96.18955033936663, pck_40: 92.99514517345398, pck_30: 85.12396304675721, pck_20: 67.08934294871803, pck_10: 31.256245286576153, pck_5: 10.132093702865761
Val loss: 0.26107441547971505, pck_50: 96.20098039215695, pck_40: 93.05877639517338, pck_30: 85.25864913273006, pck_20: 67.2617364253394, pck_10: 31.33130656108601, pck_5: 10.202088046757165
Val loss: 0.26087672578600735, pck_50: 96.17411387631982, pck_40: 93.01965497737555, pck_30: 85.25688159879336, pck_20: 67.55832861990952, pck_10: 31.786269796380076, pck_5: 10.429392911010549
Val loss: 0.2594868961435098, pck_50: 96.1816553544495, pck_40: 93.06384332579178, pck_30: 85.41725584464561, pck_20: 67.91796285822016, pck_10: 31.896563914027166, pck_5: 10.470988876319758
Val loss: 0.2589959470411906, pck_50: 96.16645456259435, pck_40: 93.09707296380084, pck_30: 85.5419259049775, pck_20: 68.12099358974355, pck_10: 31.996134992458504, pck_5: 10.403115573152347
Val loss: 0.2578854137888322, pck_50: 96.2051046380091, pck_40: 93.08670343137253, pck_30: 85.43174962292619, pck_20: 68.21526206636509, pck_10: 32.241822209653094, pck_5: 10.560779600301663
Val loss: 0.25685909401911955, pck_50: 96.21052507541488, pck_40: 93.12358597285058, pck_30: 85.563254147813, pck_20: 68.40851244343891, pck_10: 32.42870946455505, pck_5: 10.6412613122172
Val loss: 0.25700316265798534, pck_50: 96.19379242081453, pck_40: 93.11038838612365, pck_30: 85.61404128959282, pck_20: 68.50643382352933, pck_10: 32.624670060331866, pck_5: 10.66376791101056
Val loss: 0.2557604010861654, pck_50: 96.21594551282061, pck_40: 93.14373585972848, pck_30: 85.706306561086, pck_20: 68.70180524132729, pck_10: 32.7786811840121, pck_5: 10.790794683257927
Val loss: 0.2553600964924464, pck_50: 96.23444570135757, pck_40: 93.13772624434385, pck_30: 85.5923595399699, pck_20: 68.63723133484154, pck_10: 32.77891685520362, pck_5: 10.795743778280535
