Val loss: 0.32921997644007206, pck_50: 95.57668740573149, pck_40: 91.18672228506789, pck_30: 78.41075131975863, pck_20: 56.06782616892917, pck_10: 22.153916855203622, pck_5: 6.730297888386123
Val loss: 0.3296232354469024, pck_50: 95.56219362745097, pck_40: 91.1651583710407, pck_30: 78.37327960030167, pck_20: 55.94704468325794, pck_10: 22.36366421568627, pck_5: 6.816317873303171
Val loss: 0.3295534914502731, pck_50: 95.54062971342381, pck_40: 91.16374434389142, pck_30: 78.32508484162895, pck_20: 55.983573717948794, pck_10: 22.56716628959277, pck_5: 6.85803167420815
Val loss: 0.3282436249347834, pck_50: 95.62122926093514, pck_40: 91.28464366515834, pck_30: 78.5464979260935, pck_20: 56.29654506033176, pck_10: 22.382517911010563, pck_5: 7.165936085972858
Val loss: 0.32873479884404405, pck_50: 95.62441082202109, pck_40: 91.22596153846156, pck_30: 78.53542138009048, pck_20: 56.17387820512817, pck_10: 22.363782051282055, pck_5: 7.024415535444948
Val loss: 0.32875859155677833, pck_50: 95.62228978129714, pck_40: 91.23232466063344, pck_30: 78.53424302413269, pck_20: 56.19284973604823, pck_10: 22.48114630467573, pck_5: 6.981169871794883
Val loss: 0.3284241982090932, pck_50: 95.6222897812971, pck_40: 91.23197115384617, pck_30: 78.53200414781304, pck_20: 56.16610105580699, pck_10: 22.535704185520373, pck_5: 6.974099736048269
Val loss: 0.3299862039776949, pck_50: 95.54522530165913, pck_40: 91.07854920814479, pck_30: 78.49252922322776, pck_20: 55.853365384615394, pck_10: 22.622784690799396, pck_5: 6.761642156862741
Val loss: 0.32800699850687615, pck_50: 95.60850301659133, pck_40: 91.30019796380087, pck_30: 78.53989913273001, pck_20: 56.46328242835591, pck_10: 22.546191553544517, pck_5: 7.184789781297132
Val loss: 0.3278664120401327, pck_50: 95.61875471342378, pck_40: 91.3009049773756, pck_30: 78.57737085218709, pck_20: 56.485082013574605, pck_10: 22.492929864253412, pck_5: 7.1818438914027105
Val loss: 0.3285855847482498, pck_50: 95.61451263197584, pck_40: 91.16657239819006, pck_30: 78.47968514328815, pck_20: 56.09139328808445, pck_10: 22.662141779788822, pck_5: 6.989654034690794
Val loss: 0.32813244310136025, pck_50: 95.61486613876316, pck_40: 91.24717194570138, pck_30: 78.55097567873311, pck_20: 56.21040723981899, pck_10: 22.663791478129713, pck_5: 6.885369532428359
Val loss: 0.3280260391533375, pck_50: 95.6244108220211, pck_40: 91.28252262443439, pck_30: 78.5213989441931, pck_20: 56.21500282805426, pck_10: 22.68806561085972, pck_5: 6.931796757164407
Val loss: 0.3275991681103523, pck_50: 95.63572303921566, pck_40: 91.26484728506792, pck_30: 78.57006504524885, pck_20: 56.26531862745101, pck_10: 22.64423076923078, pck_5: 7.021587481146306
Val loss: 0.3275663621723652, pck_50: 95.61168457767722, pck_40: 91.2811085972851, pck_30: 78.52764423076931, pck_20: 56.58017533936651, pck_10: 22.58236708144797, pck_5: 7.1199802036199085
Val loss: 0.32735368202512083, pck_50: 95.62723887631974, pck_40: 91.30974264705881, pck_30: 78.5682975113122, pck_20: 56.44996700603314, pck_10: 22.69218985671191, pck_5: 7.073906485671193
Val loss: 0.3275022813047354, pck_50: 95.61698717948715, pck_40: 91.28499717194573, pck_30: 78.56865101809957, pck_20: 56.46080788084464, pck_10: 22.83960218702865, pck_5: 7.015577865761683
Val loss: 0.3283642792644409, pck_50: 95.61592665912514, pck_40: 91.14677601809959, pck_30: 78.41593608597286, pck_20: 56.17894513574657, pck_10: 22.808022247360483, pck_5: 7.008507730015093
Val loss: 0.32742666476047955, pck_50: 95.61628016591254, pck_40: 91.2779270361991, pck_30: 78.62957202111618, pck_20: 56.61540818250377, pck_10: 22.835595776772248, pck_5: 7.028068438914026
Val loss: 0.3283308306279091, pck_50: 95.61663367269978, pck_40: 91.17505656108597, pck_30: 78.46907993966818, pck_20: 56.146422511312124, pck_10: 22.72223793363498, pck_5: 6.994720965309207
Val loss: 0.32739453490536946, pck_50: 95.61840120663652, pck_40: 91.28959276018101, pck_30: 78.5692401960784, pck_20: 56.40872454751138, pck_10: 22.814385369532424, pck_5: 6.95359634238311
Val loss: 0.32741882752340573, pck_50: 95.61557315233792, pck_40: 91.27957673453996, pck_30: 78.61767062594264, pck_20: 56.391284879336325, pck_10: 22.880373303167424, pck_5: 6.8892581070889864
Val loss: 0.32778019363490435, pck_50: 95.61415912518852, pck_40: 91.18330505279029, pck_30: 78.45588235294122, pck_20: 56.34556466817504, pck_10: 22.909478695324314, pck_5: 6.9442873303167385
Val loss: 0.3277460561062281, pck_50: 95.6208757541478, pck_40: 91.21382447209652, pck_30: 78.47391119909508, pck_20: 56.298076923076934, pck_10: 22.98277243589745, pck_5: 6.877592383107086
Val loss: 0.32721150775368396, pck_50: 95.63572303921568, pck_40: 91.29654506033182, pck_30: 78.59681372549018, pck_20: 56.32388291855204, pck_10: 22.93092477375566, pck_5: 6.910586349924581
Val loss: 0.3280517327384307, pck_50: 95.61345211161381, pck_40: 91.1903751885369, pck_30: 78.48864064856714, pck_20: 56.2418693438914, pck_10: 23.02165818250377, pck_5: 6.91365007541478
Val loss: 0.3278375182587367, pck_50: 95.62122926093512, pck_40: 91.18577960030167, pck_30: 78.44963706636496, pck_20: 56.237273755656105, pck_10: 23.06891025641026, pck_5: 6.887844079939669
